AAA 177	  Independent Studies	  (0-6)	
EDL 678	  Student Development Theory II	  (3)	
EDL 680	  Special Topics in Equity, Diversity, and Culture: Theoretical Perspectives on Diverse College Studen	  (3)	
EDL 681	  Leadership Perspectives on Student Affairs and Higher Education	  (3)	
EDL 683	  Qualitative Research in Education	  (3)	
EDL 685	  Spirituality and Leadership in Education	  (3)	
EDL 690	  International Perspectives on Student Affairs	  (3)	
EDL 696	  Student Success in Higher Education	  (3)	
EDL 706	  Educational Leadership and Organizational Development	  (3)	
EDL 710	  Internship in Educational Leadership	  (3; maximum 6)	
EDL 721	  Pupil Personnel Services	  (1-3; maximum 3)	
EDL 723	  Public School Finance	  (3)	
EDL 725	  School Staff Personnel Administration	  (1-3)	
EDL 727	  School Business Affairs and Physical Resources	  (3)	
EDL 729	  Board-Superintendent-Staff Relationships	  (3)	
EDL 730	  New Literacies for Educational Leadership	  (2)	
EDL 731	  Learning Partnerships & Transformational Learning	  (3)	
EDL 741	  Perspectives on College Learners' Experience	  (3; maximum 6)	
EDL 745	  Perspectives on Higher Education Learning Contexts	  (3; maximum 9)	
EDL 750	  Advanced Independent Reading	  (1-3; maximum 9)	
EDL 751	  Social & Political Engagement in Higher Education	  (3)	
EDL 761	  Introduction to Doctoral Study in Educational Leadership	  (3)	
EDL 762	  Culture and Leadership in Education	  (3)	
EDL 763	  Seminar in Advanced Qualitative Research Methodology	  (3)	
EDL 764	  Education and Democratic Society	  (3)	
EDL 765	  Curriculum, Pedagogy and Diversity	  (3)	
EDL 771	  Educational Policy Analysis	  (3)	
EDL 772	  Quantitative Research Design in Education	  (3)	
EDL 774	  Scholarship of Practice	  (2; maximum 4)	
EDL 775	  Capstone in Educational Inquiry	  ()	
EDL 776	  Research/Inquiry Practicum in Student Affairs/Higher Education	  (3; maximum 6)	
EDL 780	  Advanced Seminar in Educational Administration	  (1-5; maximum 15)	
EDL 781	  Youth, Culture and Education	  (3)	
EDL 782	  Social Justice and Transformation	  (3)	
EDL 783	  Curriculum, Politics, and Policy	  (3)	
EDL 784	  Power, Knowledge and Difference	  (3)	
EDL 785	  Theorizing Gender, Sexuality, and Education	  (3)	
EDL 786	  Race, Ethnicity, Education	  (3)	
EDL 787	  Leadership for the Public Good	  (3)	
EDL 790	  Seminar in Curriculum and Supervision	  (1-3)	
EDL 850	  Doctoral Dissertation	  (1-16; maximum 60)	
EDP 101	  Psychology Of The Learner	  (3) (MPF)	
EDP 177	  Independent Studies	  (0-6)	
EDP 201	  Human Development and Learning in Social and Educational Contexts	  (3) (MPF)	
EDP 220	  Field Experience in Special Education	  (1)	
EDP 256	  Psychology of the Exceptional Learner	  (3) (MPF, MPT)	
EDP 272	  Introduction to Disability Studies	  (3) (MPF, MPT)	
EDP 277	  Independent Studies	  (0-6)	
EDP 278	  Women and (Dis)ability: Fictions and Contaminations of Identity	  (3)	
EDP 279	  Technology  + Media Literacy and Learning	  (3) (MPF)	
EDP 301	  Assessment and Evaluation in Educational Settings	  (3)	
EDP 301A	  Assessment and Evaluation in Educational Settings	  (3)	
EDP 301M	  Assessment and Evaluation in Educational Settings	  (3)	
EDP 324	  Research and Applied Writing Across the Disciplines	  (3) (MPT)	
EDP 332	  Instructional Design Theory and Models	  (3)	
EDP 333	  Evaluation and Assessment for Instructional Design	  (3)	
EDP 351	  Miami Connections Mentoring	  (1)	
EDP 357	  Student Mental Health	  (3)	
EDP 366	  Cross-cultural Examination of the United States and China within an Educational Context	  (3) (MPF)	
EDP 375	  (Dis)Ability Allies: To be or not to be? Developing Identity and Pride from Practice	  (3)	
EDP 377	  Independent Studies	  (0-6)	
EDP 378	  Media Illusions: Creations of "The Disabled" Identity	  (3)	
EDP 387	  Chinese Education through Culture, Customs, History, and Development	  (3)	
EDP 405/EDP 505	  Advanced Issues: Moderate/Intensive Special Education	  (3)	
EDP 419F	  Supervised Teaching in Programs for Mild/Moderate Intervention Specialist Licensure	  (15)	
EDP 432/EDP 532	  Assessment and Educational Planning for Children in Preschool through Fifth Grade	  (3)	
EDP 443/EDP 543	  Audiovisual Instruction: Methods, Media, and Technology	  (3)	
EDP 446	  Educational Interactive Design	  (3)	
EDP 447/EDP 547	  eLearning in K-12 Education	  (3) (MPC)	
EDP 450/EDP 550	  Special Problems	  (1-4)	
EDP 454/EDP 554	  Mathematics Curriculum & Adaptations for Children with Mild/Moderate Disabilities	  (3)	
EDP 456/EDP 556	  Advanced Seminar in Evaluation with Evidence-Based Interventions	  (3)	
EDP 458/EDP 558	  Methods I: Learners with Moderate to Intensive Needs	  (3)	
EDP 459/EDP 559	  Practicum in Special Education	  (3; maximum 3)	
EDP 459G	  Practicum in Special Education: Moderate/Intensive	  (3)	
EDP 460	  Action Research/Problem-Based Seminar in Exceptional Education/Developmental Differences	  (3) (MPC)	
EDP 468/EDP 568	  Methods II for Learners with Moderate - Intensive Needs	  (3)	
EDP 471/EDP 571	  Literacy Seminar: Clinical	  (3; maximum 6) (MPC)	
EDP 472/EDP 572	  Literacy Seminar: Practicum	  (3; maximum 6)	
EDP 477	  Independent Studies	  (0-6)	
EDP 478/EDP 578	  Effective Social Skills Development, Collaboration and Transition Planning in Special Education	  (3)	
EDP 479/EDP 579	  Autism: Introduction and Current Research	  (3)	
EDP 482/EDP 582	  Autism Spectrum Disorder: Best Practice in Teaching Strategies	  (3)	
EDP 483/EDP 583	  Game-based Learning Design	  (3)	
EDP 484/EDP 584	  Autism Spectrum Disorder: Social and Communication Development	  (3)	
EDP 485/EDP 585	  Autism Spectrum Disorder: Positive Behavior Supports and Interventions	  (3)	
EDP 486/EDP 586	  Methods I: Learners with Mild/Moderate Disabilities	  (3)	
EDP 489	  Disability in Global and Local Contexts	  (3) (MPC)	
EDP 491/EDP 591	  Methods II: Learners with Mild to Moderate Disabilities	  (3)	
EDP 494/EDP 594	  Assessment, Evaluation, and Educational Planning for Learners with Exceptionalities	  (3)	
EDP 495/EDP 595	  Critical Inquiry in Special Education	  (3)	
EDP 495E	  Inclusion and Adaptations for Students with Mild/Moderate and Gifted Needs in PreK to 5 Classrooms	  (3)	
EDP 496/EDP 596	  Behavioral Interventions: Theory, Principles, and Techniques	  (3)	
EDP 600	  Independent Reading	  (1-5; maximum 8)	
EDP 601	  Advanced Educational Psychology	  (3)	
EDP 603	  Theories of Human Learning	  (3)	
EDP 604	  Role and Function of the School Psychologist	  (3)	
EDP 605F	  Supervised Field Experience: Mild/Moderate Intervention Specialist	  (1-12)	
EDP 607	  Educational Measurement and Evaluation	  (3)	
EDP 611	  Psychoeducational Assessment and Interventions I	  (5)	
EDP 612	  Psychoeducational Assessment and Interventions II	  (5)	
EDP 620	  Research Project	  (1-3)	
EDP 631	  Foundations of Instructional Design and Technology	  (3)	
EDP 632	  Instructional Design Theory and Models	  (3)	
EDP 633	  Formative/Summative Evaluation of Learning Design	  (3)	
EDP 635	  Theories of Human Development	  (3)	
EDP 636	  Diversity, Learning & Technology	  (3)	
EDP 637	  Blended and Online Learning Design	  (3)	
EDP 639	  Trends in Learning Design and Analytics	  (3)	
EDP 641	  Visual Design for Instruction	  (3)	
EDP 643	  Interactive Design	  (3)	
EDP 645	  Curriculum and Technology	  (3)	
EDP 648	  Capstone Project	  (3-6; maximum 6)	
EDP 650	  Seminar in Special Education	  (3; maximum 9)	
EDP 651	  Educational Research	  (3)	
EDP 652	  Educational Research Practicum	  (3)	
EDP 654	  Counseling Practicum	  (4; maximum 4)	
EDP 655	  Theory and Problems in Educational Measurement	  (3)	
EDP 656	  Education of Individuals with Exceptionalities	  (3)	
EDP 660	  Practicum in School Psychology Practice	  (4; maximum 4)	
EDP 662	  Social, Emotional, and Behavioral Assessment	  (3)	
EDP 666	  Educational Consultation, Collaboration, and Community Psychology	  (3)	
EDP 667	  Behavioral Statistics I	  (3)	
EDP 669	  Qualitative Research in Educational Psychology	  (3)	
EDP 672	  Counseling Theories and Issues	  (3)	
EDP 677	  Independent Studies	  (0-6)	
EDP 688	  Introduction to Data Management and Analysis	  (3)	
EDP 689	  Advanced Data Analysis	  (3)	
EDP 690	  Seminar in Educational Psychology	  (1-3)	
EDP 695	  Supervised Public School Experience for School Psychology Students	  (2; maximum 4)	
EDP 700	  Research for Master's Thesis	  (1-12)	
EDP 795	  Internship for Educational Specialist Degree in School Psychology	  (7)	
EDP 796	  Internship for Educational Specialist Degree in School Psychology	  (7)	
EDP 800	  Specialist Degree	  (1-10)	
EDT 002	  College Reading II	  (3)	
EDT 110	  Learning Strategies for College Success	  (2)	
EDT 177	  Independent Studies	  (0-6)	
EDT 181	  Physical Science and Society	  (4) (MPF)	
EDT 182	  Earth Science and Society	  (4) (MPF)	
EDT 188	  Creativity and Innovation in STEM Education	  (3) (MPT)	
EDT 190	  Introduction to Education	  (3)	
EDT 202	  Global Childhood Education: Diversity, Education & Society	  (3) (MPF)	
EDT 205	  Race, Cultural Diversity, and Equity in Education	  (3) (MPF)	
EDT 221	  Teaching English Language Learners in PK-12: Culture & Second Language Acquisition	  (3) (MPF)	
EDT 225	  Family School and Community Connections	  (3)	
EDT 242P	  Phonics and Literacy Instruction for Teachers	  (3)	
EDT 246	  Foundations of Language and Literacy	  (3)	
EDT 246A	  Foundations of Language and Literacy	  (3)	
EDT 246E	  Foundations of Language and Literacy	  (3)	
EDT 246M	  Foundations of Language and Literacy	  (3)	
EDT 246P	  Foundations of Reading, Language, and Literacy	  (3)	
EDT 251	  Research Skills and Strategies - Library & Internet	  (2)	
EDT 252M	  Early Field Experience: Middle Childhood	  (3)	
EDT 265	  Mathematics: History and Technology	  (3)	
EDT 272E	  Introductory Child Development: PreBirth through Age 8	  (3)	
EDT 272P	  Introduction of Childhood Development and Education	  (3)	
EDT 273	  Prekindergarten Integrated Curriculum I	  (3)	
EDT 274	  Prekindergarten Integrated Curriculum II	  (3)	
EDT 277	  Independent Studies	  (0-6)	
EDT 284	  Writing for Educators	  (3)	
EDT 288	  Ways of Thinking in STEM (Science, Technology, Engineering, and Mathematics) Education	  (3)	
EDT 303	  Community Based Practices: Learning Enhancement for Preschool Children from Low Income Families	  (1-3; maximum 3)	
EDT 310	  Applications of Peer Education	  (1)	
EDT 311	  Educational Strategies for Non-Majors	  (3)	
EDT 315E	  Teaching with Children's Literature Across the ECE Curriculum	  (3)	
EDT 315P	  Children's Literature for PK-5 Classrooms	  (3)	
EDT 317E	  Teaching Science: Early Childhood	  (3)	
EDT 317P	  Science PK-5: Child and Curriculum Integration	  (3)	
EDT 318E	  Mathematics in Early Childhood	  (3)	
EDT 318P	  Mathematics PK-5: Child and Curriculum Integration	  (3)	
EDT 323	  Teaching English Language Learners in PK-12: Instructional Theories & Practices	  (3) (MPF)	
EDT 340	  Internship	  (0-20)	
EDT 346A	  Reading Instruction for Adolescents	  (3)	
EDT 346E	  Teaching Language and Literacy Across the ECE Curriculum	  (3)	
EDT 346M	  Reading Instruction for Middle Grades	  (3)	
EDT 346P	  Language, Literacy, and Culture in PK-5 Education	  (3)	
EDT 362	  U	S. Political/Economic Experience for Teachers.  (4)	
EDT 377	  Independent Studies	  (0-6)	
EDT 405/EDT 505	  Advanced Science for the Elementary School Teacher	  (3)	
EDT 415/EDT 515	  Inquiry Into Life Science	  (3)	
EDT 417E	  Teaching Social Studies in the Early Childhood	  (3)	
EDT 417P	  Social Studies PK-5: Child and Curriculum Integration	  (3)	
EDT 418	  TESOL PK-12 Teaching Practicum	  (3)	
EDT 419A/EDT 519A	  Teaching Internship- Adolescent	  (1-16)	
EDT 419E	  Teaching Internship- Early Childhood	  (15)	
EDT 419M	  Teaching Internship-Middle Childhood	  (15)	
EDT 419P	  Teaching Internship Primary PK-5	  (15)	
EDT 420	  Field Experience	  (1-4; maximum 8)	
EDT 420F	  Teaching Foreign Language (FL): Elementary School Practicum	  (3)	
EDT 421A/EDT 521A	  Classroom Cultures, Community, and Climate	  (3)	
EDT 421M	  Classroom Management	  (3)	
EDT 422	  Studies in Educational Issues	  (3) (MPC)	
EDT 423/EDT 523	  Literature and Other Media for Adolescents	  (3)	
EDT 425	  Teaching English Language Learners in PK-12: Active Learning & Literacy	  (3) (MPF)	
EDT 427/EDT 527	  Adolescent Language Arts I	  (3)	
EDT 428/EDT 528	  Adolescent Language Arts II	  (3)	
EDT 429A/EDT 529A	  Adolescent Mathematics I	  (3)	
EDT 429M	  Middle Childhood Mathematics	  (3)	
EDT 430/EDT 530	  Adolescent Mathematics II	  (3)	
EDT 431/EDT 531	  Adolescent Science Methods I	  (3)	
EDT 432/EDT 532	  Adolescent Science Methods II	  (3)	
EDT 433/EDT 533	  Adolescent Social Studies Methods I	  (3)	
EDT 434/EDT 534	  Adolescent Social Studies Methods II	  (3)	
EDT 436	  Middle Childhood Language Arts	  (3)	
EDT 439	  Middle Childhood Social Studies	  (3)	
EDT 441	  Middle Childhood Science	  (3)	
EDT 442E	  Phonics, Word Study, and Spelling Instruction in ECE	  (3)	
EDT 442M	  Phonics and Reading Improvement for Middle Childhood	  (3)	
EDT 444/EDT 544	  Language Teaching and Learning I	  (3)	
EDT 445/EDT 545	  Language Teaching and Learning II	  (3)	
EDT 446A/EDT 546A	  Integrating Literacy Across the Content Areas	  (3)	
EDT 446L/EDT 546L	  Reading in the Foreign Language	  (3)	
EDT 448M	  Reading Practicum for Middle Childhood	  (3)	
EDT 450/EDT 550	  Special Problems	  (1-3; maximum 6)	
EDT 452/EDT 552	  Teaching Social Studies in the Intermediate Grades	  (3)	
EDT 453/EDT 553	  Practicum & Praxis Grades 4-5	  (1)	
EDT 455	  Capstone Seminar: Comparative Education in Europe or China	  (4)	
EDT 457/EDT 557	  Culturally Responsive Teaching	  (3)	
EDT 461/EDT 561	  Grant Writing Skills and Methods	  (3)	
EDT 465/EDT 565	  Learning and Teaching Mathematics in the Intermediate Grades	  (3)	
EDT 466/EDT 566	  Mathematics Misconception Diagnosis & Remediation	  (3)	
EDT 473E	  Early Childhood Synthesis: Negotiating the Complexities of Teaching	  (3)	
EDT 473P	  Negotiating the Complexities of Teaching: PK-5 Synthesis	  (3)	
EDT 474E	  Classroom Management & Student Guidance in Early Childhood	  (3)	
EDT 474P	  Classroom Cultures, Community, and Climate	  (3)	
EDT 477	  Independent Studies	  (0-6)	
EDT 483/EDT 583	  Educators as Activists: Preparing Educators and Allies for Forces Impacting Classrooms and Schools	  (3)	
EDT 485	  Outdoor Leadership in New Zealand	  (3,6; maximum 6)	
EDT 488	  Grand Challenges in STEM Education	  (3)	
EDT 495	  Writing Information Books for Children	  (3) (MPC)	
EDT 600	  Independent Reading	  (1-3; maximum 6)	
EDT 603	  Language, Literacy and Culture	  (3)	
EDT 606	  Curriculum Innovation and Transformation through Understanding and Design	  (3)	
EDT 610	  Applied Studies in Classroom Teaching	  (1-3; maximum 12)	
EDT 612	  TESOL Educational Policies & Second Language Acquisition	  (3)	
EDT 614	  TESOL Instructional Methodologies	  (3)	
EDT 616	  Current Issues in TESOL	  (3)	
EDT 618	  TESOL Cultural Contexts & Assessment	  (3)	
EDT 622	  Improvement of Teaching in the Public School	  (3)	
EDT 625	  Teaching Writing	  (3)	
EDT 626	  Teaching with Literature for Children	  (3)	
EDT 632	  Literacy Assessment and Instruction	  (3)	
EDT 635	  Clinical Literacy Practicum	  (4)	
EDT 636	  Literacy and Leadership	  (3)	
EDT 642	  Phonics and Reading Improvement for the Reading Teacher	  (3)	
EDT 643	  Language and Discourse	  (3)	
EDT 646	  Reading and Writing in Content Areas	  (3)	
EDT 648	  Data-Informed Decision Making in Education	  (3)	
EDT 660	  Seminar in Mathematics Education	  (1-3; maximum 6)	
EDT 663	  Advanced Methods for Adolescent Mathematics	  (3)	
EDT 677	  Independent Studies	  (0-6)	
EDT 690	  Graduate Capstone Experience in Education	  (3)	
EGM 177	  Independent Studies	  (0-6)	
EGM 277	  Independent Studies	  (0-6)	
EGM 377	  Independent Studies	  (0-6)	
EGM 411/EGM 511	  Leading and Managing Projects	  (3)	
EGM 477	  Independent Studies	  (0-6)	
EGS 177	  Independent Studies	  (0-6)	
EGS 215	  Workplace Writing	  (3)	
EGS 277	  Independent Studies	  (0-6)	
EGS 301	  Writing and the Professions	  (3)	
EGS 305	  Integrative Writing in Global Contexts	  (3)	
EGS 319	  Medical Writing	  (3)	
EGS 320	  Readings in Literatures and Cultures	  (3; maximum 6)	
EGS 340	  Internship	  (0-20)	
EGS 377	  Independent Studies	  (0-6)	
EGS 390	  Special Topics in English Studies	  (3; maximum 6)	
EGS 410	  Readings in Multicultural Perspectives	  (3; maximum 6)	
EGS 420	  Topics in Writing	  (3; maximum 6)	
EGS 460	  Issues in Literary and Cultural Studies	  (3; maximum 6)	
EGS 477	  Independent Studies	  (0-6)	
EGS 495	  Capstone in English Studies	  (3)	
EHS 195	  Leadership in Healthy Communities	  (1)	
EHS 649	  Action Research for Educators	  (3)	
EHS 667	  Behavior Statistics	  (3)	
EHS 668	  Behavior Statistics II	  (3)	
EHS 710	  Interdisciplinary Doctoral Lab	  (1-6; maximum 6)	
ENG 007	  Fundamentals Of Writing	  (1-3)	
ENG 104	  Writing Studio	  (1)	
ENG 105	  Writing Studio	  (1)	
ENG 107	  Reading & Writing in Academic Contexts	  (4)	
